"age","sex","category","population"
0,"Miehet","v1990",43
0,"Miehet","v2010",28
0,"Miehet","v2024",12
1,"Miehet","v1990",31
1,"Miehet","v2010",24
1,"Miehet","v2024",20
2,"Miehet","v1990",39
2,"Miehet","v2010",20
2,"Miehet","v2024",16
3,"Miehet","v1990",38
3,"Miehet","v2010",31
3,"Miehet","v2024",11
4,"Miehet","v1990",28
4,"Miehet","v2010",27
4,"Miehet","v2024",12
5,"Miehet","v1990",42
5,"Miehet","v2010",30
5,"Miehet","v2024",14
6,"Miehet","v1990",38
6,"Miehet","v2010",29
6,"Miehet","v2024",17
7,"Miehet","v1990",31
7,"Miehet","v2010",17
7,"Miehet","v2024",14
8,"Miehet","v1990",31
8,"Miehet","v2010",18
8,"Miehet","v2024",18
9,"Miehet","v1990",34
9,"Miehet","v2010",28
9,"Miehet","v2024",27
10,"Miehet","v1990",33
10,"Miehet","v2010",23
10,"Miehet","v2024",18
11,"Miehet","v1990",42
11,"Miehet","v2010",35
11,"Miehet","v2024",25
12,"Miehet","v1990",31
12,"Miehet","v2010",23
12,"Miehet","v2024",16
13,"Miehet","v1990",40
13,"Miehet","v2010",17
13,"Miehet","v2024",19
14,"Miehet","v1990",29
14,"Miehet","v2010",32
14,"Miehet","v2024",34
15,"Miehet","v1990",37
15,"Miehet","v2010",22
15,"Miehet","v2024",21
16,"Miehet","v1990",36
16,"Miehet","v2010",29
16,"Miehet","v2024",24
17,"Miehet","v1990",37
17,"Miehet","v2010",33
17,"Miehet","v2024",30
18,"Miehet","v1990",25
18,"Miehet","v2010",29
18,"Miehet","v2024",30
19,"Miehet","v1990",39
19,"Miehet","v2010",28
19,"Miehet","v2024",28
20,"Miehet","v1990",43
20,"Miehet","v2010",33
20,"Miehet","v2024",12
21,"Miehet","v1990",54
21,"Miehet","v2010",19
21,"Miehet","v2024",10
22,"Miehet","v1990",25
22,"Miehet","v2010",27
22,"Miehet","v2024",12
23,"Miehet","v1990",43
23,"Miehet","v2010",23
23,"Miehet","v2024",13
24,"Miehet","v1990",39
24,"Miehet","v2010",21
24,"Miehet","v2024",16
25,"Miehet","v1990",32
25,"Miehet","v2010",22
25,"Miehet","v2024",13
26,"Miehet","v1990",41
26,"Miehet","v2010",36
26,"Miehet","v2024",13
27,"Miehet","v1990",44
27,"Miehet","v2010",20
27,"Miehet","v2024",10
28,"Miehet","v1990",36
28,"Miehet","v2010",26
28,"Miehet","v2024",23
29,"Miehet","v1990",47
